Tempo (ms),Lead I (uV),Lead II (uV),Lead III (uV),aVR (uV),aVL (uV),aVF (uV),V1 (uV),V2 (uV),V3 (uV),V4 (uV),V5 (uV),V6 (uV)
0,176.41,83.66,-92.75,-130.01,134.58,-4.52,-21.16,65.53,198.62,170.35,153.23,95.78
1,169.34,63.52,-105.83,-116.40,137.61,-21.16,-15.10,67.51,191.56,165.35,147.18,86.69
2,158.28,61.50,-96.79,-109.87,127.56,-17.65,-12.07,67.51,191.56,158.28,144.15,88.71
3,162.32,68.52,-93.81,-115.39,128.09,-12.65,-2.98,76.59,200.64,165.35,153.23,104.82
4,153.23,59.48,-93.76,-106.36,123.52,-17.12,0.96,78.61,199.63,165.35,151.22,93.76
5,147.18,53.42,-93.76,-100.30,120.49,-20.15,-6.01,75.58,192.56,156.26,136.07,73.56
6,142.13,49.38,-92.75,-95.73,117.46,-21.68,2.98,78.61,194.58,159.29,137.08,80.63
7,130.06,42.31,-87.75,-86.16,108.90,-22.69,3.99,74.57,188.53,155.25,137.08,79.62
8,132.08,47.36,-84.72,-89.72,108.42,-18.66,-6.01,61.50,174.39,144.15,127.03,71.54
9,145.16,61.50,-83.66,-103.33,114.43,-11.06,-7.02,56.45,172.37,143.14,126.02,74.57
10,143.14,57.46,-85.68,-100.30,114.43,-14.09,-10.05,55.44,168.33,139.10,125.01,73.56
11,143.14,60.49,-82.65,-101.79,112.89,-11.06,-5.00,58.47,170.35,140.11,126.02,75.58
12,140.11,64.52,-75.58,-102.32,107.85,-5.53,0.96,59.48,171.36,141.12,126.02,70.53
13,115.92,41.30,-74.62,-78.61,95.30,-16.64,0.00,55.44,167.37,135.06,120.97,62.51
14,105.83,28.22,-77.60,-67.03,91.74,-24.67,1.97,56.45,164.34,132.08,116.93,60.49
15,90.73,19.14,-71.59,-54.91,81.16,-26.20,8.03,60.49,169.34,134.10,114.91,55.44
16,78.61,9.04,-69.57,-43.80,74.09,-30.24,13.08,65.53,172.37,136.07,112.89,54.43
17,78.61,9.04,-69.57,-43.80,74.09,-30.24,25.19,74.57,175.40,137.08,109.87,47.36
18,60.49,2.98,-57.50,-31.73,59.00,-27.26,34.23,78.61,184.49,145.16,117.94,58.47
