Tempo (ms),Lead I (uV),Lead II (uV),Lead III (uV),aVR (uV),aVL (uV),aVF (uV),V1 (uV),V2 (uV),V3 (uV),V4 (uV),V5 (uV),V6 (uV)
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,45.34,-37.26,-82.60,-4.04,63.95,-59.91,58.47,99.82,177.42,139.10,92.75,15.10
54,43.32,-30.24,-73.56,-6.54,58.42,-51.88,57.46,96.79,178.43,142.13,94.77,18.13
55,45.34,-26.20,-71.54,-9.57,58.42,-48.85,59.48,101.79,181.46,144.15,95.78,19.14
56,50.39,-25.19,-75.58,-12.60,62.99,-50.39,65.53,104.82,181.46,146.17,98.81,20.15
57,45.34,-21.16,-66.50,-12.07,55.92,-43.80,67.51,106.84,184.49,149.20,102.80,26.20
58,39.28,-25.19,-64.48,-7.02,51.88,-44.81,72.55,107.85,186.51,151.22,102.80,27.21
59,41.30,-26.20,-67.51,-7.55,54.38,-46.83,58.47,97.80,178.43,144.15,96.79,18.13
60,51.40,-24.18,-75.58,-13.61,63.47,-49.86,54.43,96.79,175.40,139.10,93.76,20.15
61,58.47,-18.13,-76.59,-20.15,67.51,-47.36,70.53,106.84,178.43,143.14,96.79,22.17
62,37.26,-31.25,-68.52,-2.98,52.89,-49.86,65.53,105.83,177.42,144.15,95.78,18.13
63,24.18,-39.28,-63.47,7.55,43.80,-51.35,65.53,103.81,174.39,141.12,91.74,14.09
64,32.26,-29.23,-61.50,-1.49,46.88,-45.34,61.50,100.83,170.35,139.10,88.71,11.06
65,28.22,-34.23,-62.46,2.98,45.34,-48.32,61.50,97.80,170.35,139.10,88.71,15.10
66,36.25,-25.19,-61.45,-5.53,48.85,-43.32,64.52,99.82,174.39,141.12,93.76,17.12
67,40.29,-22.17,-62.46,-9.04,51.35,-42.31,58.47,100.83,177.42,143.14,96.79,19.14
68,36.25,-23.18,-59.43,-6.54,47.84,-41.30,62.51,98.81,176.41,144.15,95.78,20.15
69,39.28,-31.25,-70.53,-3.99,54.91,-50.87,64.52,99.82,170.35,141.12,90.73,13.08
70,39.28,-40.29,-79.57,0.48,59.43,-59.91,62.51,101.79,170.35,140.11,90.73,12.07
71,48.37,-28.22,-76.59,-10.05,62.46,-52.41,63.52,102.80,174.39,143.14,94.77,15.10
72,55.44,-23.18,-78.61,-16.11,67.03,-50.87,64.52,106.84,175.40,144.15,95.78,16.11
73,62.51,-15.10,-77.60,-23.70,70.05,-46.35,66.54,106.84,179.44,148.19,97.80,24.18
74,58.47,-18.13,-76.59,-20.15,67.51,-47.36,66.54,106.84,181.46,149.20,97.80,21.16
75,38.27,-32.26,-70.53,-2.98,54.38,-51.40,61.50,101.79,170.35,140.11,88.71,5.00
76,33.27,-42.31,-75.58,4.52,54.43,-58.95,61.50,98.81,168.33,139.10,88.71,9.04
77,41.30,-39.28,-80.58,-1.01,60.92,-59.91,62.51,102.80,172.37,141.12,92.75,21.16
78,45.34,-31.25,-76.59,-7.02,60.97,-53.90,61.50,104.82,173.38,143.14,93.76,20.15
79,49.38,-25.19,-74.57,-12.07,61.98,-49.86,61.50,106.84,174.39,145.16,93.76,18.13
80,42.31,-31.25,-73.56,-5.53,57.94,-52.41,60.49,104.82,171.36,141.12,88.71,8.03
81,43.32,-30.24,-73.56,-6.54,58.42,-51.88,60.49,105.83,171.36,142.13,89.72,14.09
82,59.48,-17.12,-76.59,-21.16,68.03,-46.83,63.52,107.85,174.39,143.14,92.75,18.13
83,44.33,-30.24,-74.57,-7.02,59.43,-52.41,59.48,102.80,170.35,138.09,89.72,16.11
84,37.26,-35.24,-72.51,-1.01,54.86,-53.85,54.43,96.79,166.36,139.10,91.74,25.19
85,38.27,-32.26,-70.53,-2.98,54.38,-51.40,56.45,99.82,168.33,137.08,88.71,13.08
86,42.31,-21.16,-63.47,-10.58,52.89,-42.31,60.49,103.81,172.37,141.12,93.76,17.12
87,45.34,-25.19,-70.53,-10.05,57.94,-47.84,57.46,97.80,170.35,138.09,92.75,18.13
88,31.25,-41.30,-72.55,5.00,51.88,-56.93,57.46,100.83,167.37,133.09,85.68,10.05
89,37.26,-32.26,-69.53,-2.50,53.37,-50.87,58.47,106.84,172.37,139.10,94.77,23.18
90,33.27,-46.35,-79.62,6.54,56.45,-62.99,53.42,98.81,167.37,131.07,85.68,9.04
91,33.27,-45.34,-78.61,6.01,55.92,-61.98,54.43,98.81,166.36,132.08,83.66,10.05
92,47.36,-22.17,-69.53,-12.60,58.42,-45.82,57.46,103.81,174.39,142.13,96.79,27.21
93,45.34,-25.19,-70.53,-10.05,57.94,-47.84,60.49,102.80,173.38,139.10,93.76,17.12
94,38.27,-34.23,-72.51,-2.02,55.39,-53.37,62.51,103.81,170.35,135.06,87.70,5.00
95,35.24,-32.26,-67.51,-1.49,51.35,-49.86,63.52,105.83,170.35,135.06,88.71,9.04
96,35.24,-39.28,-74.53,2.02,54.86,-56.88,60.49,104.82,170.35,136.07,88.71,13.08
97,32.26,-41.30,-73.56,4.52,52.89,-57.41,61.50,103.81,169.34,135.06,86.69,12.07
